"Year","Anglian","Argyll","Clyde","Dee","Forth","Humber","NeaghBann","NorthEastScotland","NorthEasternIreland","NorthHighland","NorthWestEngland","NorthWesternIreland","Northumbria","OrkneyandShetlands","Severn","Solway","SouthEastEngland","SouthWestEngland","Tay","Thames","Tweed","WestHighland","WesternWales"
1937,26.2950234022779,47.4614311458453,42.4493094866761,31.2836589641115,24.2991545873501,29.3451065566,26.4833533655759,40.5830042419109,24.6157538499236,32.9927951035025,30.5338368674812,41.3032352720886,25.3618546419601,28.0559280250694,38.7626069271886,45.4678837350353,24.9429921652609,25.5989139984049,32.2507117590461,19.5606564333552,27.9078900722503,34.4149714117284,40.3242545588111
1938,13.727767120603,42.4535576010708,37.1199617576047,36.0846511708722,25.9919528205271,24.9020212975076,25.0639655995151,28.6977422946607,28.7194917638595,38.5493766031836,37.7445829579457,31.0245384013008,29.2248624785832,30.4280442459157,23.4321838847954,36.446796570461,19.9523107177238,32.3576225486832,30.9182911212553,17.1669979855712,36.2431755894954,33.2179234676086,35.9591534468831
1939,30.941131350581,49.056444133783,25.7509082396841,33.7699334020821,26.6618115936516,22.3831499349478,21.3519469074429,27.5749273236768,24.2542850507621,34.7423784415004,31.4866631784183,26.4116049899843,25.7368568649336,20.5224118348468,20.5414572926747,28.329289025891,41.4204207586752,29.9808035567439,43.6887322872128,28.1397626050958,27.280807573656,49.5777074095275,45.1431051674762
1940,20.553817826623,41.1866418888206,42.1643192936364,30.9070331682981,32.5276805051934,27.9719457946956,28.6405493162265,35.4989085525508,31.2662741917904,30.632666672806,35.7167256687624,33.0531732177224,39.7089492863961,35.9887092662077,36.5384549505522,43.5994108741815,31.4665843842494,29.6484553816007,32.0548706115912,26.7971741022742,35.22771506073,37.9197550703728,43.3786578677963
1941,22.0534675291899,44.1717285115389,34.2047056631874,28.7937771791773,33.9230821610737,28.3884226218311,33.3296583159436,33.1206625419278,35.4500049711609,30.2691191706326,49.8402538600513,33.3071564289062,40.67995175093,20.9993335716611,25.4000009412659,43.9578896007598,16.8019248100041,24.8744692026447,34.1955684654461,19.6842804073314,34.4632806098319,32.4923202946675,29.848172681139
1942,19.3085840424632,36.9402822399106,28.1819126530688,23.372994304877,33.8878386076561,16.8795721606273,32.1959229434899,27.5755215132241,34.2997243156291,36.2326018947625,31.4852634787099,44.7152702470396,31.8502321165409,17.3893015878245,29.2305880078219,34.0274988963848,19.7842966104972,21.1317120847921,42.2739721165945,20.6005795704032,26.5664762788723,32.4941737647633,31.1661904206566
1943,13.7289844592512,47.9754759484329,36.3067003732885,29.385832831044,28.4526243691815,15.4658273179329,28.0596656709882,43.7195076069177,26.1859182077218,28.0014373270397,21.9055675781253,24.2354788795125,25.9801265432515,23.0416651892116,20.0001200784003,29.5233840308412,30.1672881521726,25.0400282902041,28.2118820576199,19.2897562449437,36.8661702210675,31.8634709921676,38.8428287312859
1944,17.457425087758,39.4087112543096,38.1301571941398,35.6337111732291,38.5434315850228,20.7075727066065,37.093636630798,24.3397989386123,33.560820476819,23.0812708450663,30.0846778372096,31.4410458912076,24.0422412370871,15.6794852534165,23.9380402635551,33.0153775476925,30.2459181367161,41.0494824328098,32.0997090085248,19.157129094409,38.463802694486,31.0762874117029,42.5108587399487
1945,16.319044315851,43.0855923772888,32.2509305916818,30.450920350033,25.3575753359061,20.9055012449726,40.0807150185802,43.5641139694836,44.2998858229525,35.691729834051,25.7825898037506,31.6175105898279,20.726677271432,31.0023103291775,24.602558910266,28.9370439505331,25.9402544147827,33.4839898178261,31.4352730917567,26.5691750153574,23.4664379318403,46.1624999303451,35.6380296224761
1946,22.3168437959566,36.3634419481565,25.9121950436611,51.7471321607293,22.807893612696,27.4678843504453,22.7950067936463,29.1101242768552,25.1944323377601,23.9148821315222,30.1111561664883,36.9652452011432,30.5117852777314,25.6141532070367,27.7865874732321,30.6854608812406,33.4201122208471,38.2858935669453,30.089377922757,25.4652198672873,36.3627040838104,27.4538561296066,40.1551588913064
1947,17.3464670366527,59.3047849468676,24.9193707109431,23.8206224508403,26.0243018210797,26.4518648170893,19.6023945654793,31.6806491189697,23.5357526173164,32.6711851308274,33.2262409968403,27.0509704596128,35.5351163781705,21.6838865029688,22.7536936767281,27.1826133295485,23.7053209253328,25.786187092483,28.1895302902571,17.5146202646525,24.6588132206316,52.5959419781203,44.0803308732709
1948,24.5293510930153,47.0954815474217,39.6523032650661,32.4526714009006,52.3700644620861,28.8478900746795,24.491334714356,29.9888638461902,29.8517581054448,40.9237695957891,28.1576028829294,25.0165547483955,32.277223165707,20.5251531868445,28.6711890093076,31.0577186156833,25.1063422324392,22.9202917363259,31.4253770646537,23.3293727457083,91.3567860801257,37.6658306936773,43.6703327688283
